Book,Author,Frequency,Genres,Length,Rating,Year_Published,Year_Read,Emotion,Series
Five Survive,Holly Jackson,1,"Mystery, Thriller, Young Adult, Fiction, Crime",400,4.75,2022,2022,Outrage,
House of Earth and Blood,Sarah J.Maas,1,"Fantasy, Romance, Fiction, Urban Fantasy, Adult, Magic, Paranormal",804,4,2020,2022,Indifference,"Crescent City, #1"
As Good As Dead,Holly Jackson,1,"Mystery, Young Adult, Thriller, Fiction, Crime, Romance",570,4.25,2021,2021,Repulsion,"A Good Girl's Guide to Murder, #3"
The Ballad of Never After,Stephanie Garber,1,"Fantasy, Romance, Young Adult, Fiction, Magic",403,3.5,2022,2022,Amusement,"Once Upon a Broken Heart, #2"
Once Upon a Broken Heart,Stephanie Garber,1,"Fantasy, Romance, Young Adult, Fiction, Magic",403,3.5,2021,2022,Amusement,"Once Upon a Broken Heart, #1"
The Cheerleaders,Kara Thomas,1,"Mystery, Young Adult, Thriller, Fiction, Crime, Suspense, Dark",384,4,2018,2020,Repulsion,
City of Heavenly Fire,Cassandra Clare,3,"Fantasy, Young Adult, Urban Fantassy, Paranormal, Romance, Fiction, Magic",725,2.75,2014,2016,Indifference,"The Mortal Instruments, #6"
City of Bones,Cassandra Clare,3,"Fantasy, Young Adult, Urban Fantassy, Paranormal, Romance, Fiction, Magic",485,3.5,2007,2016,Anticipation,"The Mortal Instruments, #1"
City of Ashes,Cassandra Clare,3,"Fantasy, Young Adult, Urban Fantassy, Paranormal, Romance, Fiction, Magic",453,3,2008,2016,Confusion,"The Mortal Instruments, #2"
City of Glass,Cassandra Clare,3,"Fantasy, Young Adult, Urban Fantassy, Paranormal, Romance, Fiction, Magic",541,3.25,2009,2016,Relief,"The Mortal Instruments, #3"
City of Fallen Angels,Cassandra Clare,3,"Fantasy, Young Adult, Urban Fantassy, Paranormal, Romance, Fiction, Magic",425,2.75,2011,2016,Indifference,"The Mortal Instruments, #4"
City of Lost Souls,Cassandra Clare,3,"Fantasy, Young Adult, Urban Fantassy, Paranormal, Romance, Fiction, Magic",535,3,2012,2016,Confusion,"The Mortal Instruments, #5"
The Elite,Kiera Cass,4,"Romance, Young Adult, Dystopia, Fiction, Fantasy",336,3.75,2013,2015,Excitement,"The Selection, #2"
The One,Kiera Cass,4,"Romance, Young Adult, Dystopia, Fiction, Fantasy",323,4.25,2014,2015,Relief,"The Selection, #3"
The Selection,Kiera Cass,4,"Romance, Young Adult, Dystopia, Fiction, Fantasy",336,4,2012,2015,Anticipation,"The Selection, #1"
Detail In Typography,Jost Hochuli ,1,"Design, Non-Fiction, Art Design, Art, Reference, Writing ",61,4.25,2008,2023,Wonder,
Dance of Thieves,Mary E. Pearson,1,"Fantasy, Romance, Young Adult, Fiction, Dystopia",512,3.5,2018,2021,Indifference,"Dance of Thieves, #1"
These Hollow Vows,Lexi Ryan,1,"Fantasy, Romance, Young Adult, Fiction, Magic",448,2.75,2021,2022,Indifference,"These Hollow Vows, #1"
The Prison Healer,Lynette Naomi,1,"Fantasy, Young Adult, Romance, Magic, Fiction, Adventure",416,3.75,2021,2021,Excitement,"The Prison Healer, #1"
The Gilded Cage,Lynette Naomi,1,"Fantasy, Young Adult, Romance, Magic, Fiction, Adventure",448,3.5,2021,2021,Despair,"The Prison Healer, #2"
The Blood Traitor,Lynette Naomi,1,"Fantasy, Young Adult, Romance, Magic, Fiction, Adventure",464,3,2022,2022,Indifference,"The Prison Healer, #3"
