Title,Author
"Fourth Wing (The Empyrean, #1)","Yarros, Rebecca*"
"A Curse for True Love (Once Upon a Broken Heart, #3)","Garber, Stephanie*"
"Divine Rivals (Letters of Enchantment, #1)","Ross, Rebecca*"
"The Blood Traitor (The Prison Healer, #3)","Noni, Lynette*"
Detail In Typography,"Hochuli, Jost"
The History of Graphic Design Vol. 1. 1890-1959,"Müller, Jens"
"Nine Liars (Truly Devious, #5)","Johnson, Maureen*"
Five Survive,"Jackson, Holly*"
"The Ballad of Never After (Once Upon a Broken Heart, #2)","Garber, Stephanie*"
"The Gilded Cage (The Prison Healer, #2)","Noni, Lynette*"
"Our Violent Ends (These Violent Delights, #2)","Gong, Chloe*"
"The Prison Healer (The Prison Healer, #1)","Noni, Lynette*"
"As Good As Dead (A Good Girl's Guide to Murder, #3)","Jackson, Holly*"
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)","Garber, Stephanie*"
"These Hollow Vows (These Hollow Vows, #1)","Ryan, Lexi*"
"Hunting November (Killing November, #2)","Mather, Adriana*"
"Killing November (Killing November, #1)","Mather, Adriana*"
The Cheerleaders,"Thomas, Kara"
"Pretty Little Liars (Pretty Little Liars, #1)","Shepard, Sara*"
"The Princess Diaries (The Princess Diaries, #1)","Cabot, Meg*"
"The Name of the Star (Shades of London, #1)","Johnson, Maureen*"
"The Naturals (The Naturals, #1)","Barnes, Jennifer Lynn*"
"The Traitor Queen (The Bridge Kingdom, #2)","Jensen, Danielle L.*"
"The Bridge Kingdom (The Bridge Kingdom, #1)","Jensen, Danielle L.*"
"Dance of Thieves (Dance of Thieves, #1)","Pearson, Mary E.*"
"Siege and Storm (The Shadow and Bone Trilogy, #2)","Bardugo, Leigh*"
"The Inheritance Games (The Inheritance Games, #1)","Barnes, Jennifer Lynn*"
"The Rose & the Dagger (The Wrath and the Dawn, #2)","Ahdieh, Renee*"
"These Violent Delights (These Violent Delights, #1)","Gong, Chloe*"
"The Wrath and the Dawn (The Wrath and the Dawn, #1)","Ahdieh, Renee*"
"Kingdom of the Wicked (Kingdom of the Wicked, #1)","Maniscalco, Kerri*"
"As Good As Dead (A Good Girl's Guide to Murder, #3)","Jackson, Holly*"
"Chain of Iron (The Last Hours, #2)","Clare, Cassandra*"
"Crush (Crave, #2)","Wolff, Tracy"
"Crave (Crave, #1)","Wolff, Tracy"
Hunting Prince Dracula (Stalking Jack the Ripper #2),"Maniscalco, Kerri*"
"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)","Maniscalco, Kerri*"
"The Box in the Woods (Truly Devious, #4)","Johnson, Maureen*"
The Widow of Wall Street,"Meyers, Randy Susan*"
"Unspoken (The Lynburn Legacy, #1)","Brennan, Sarah Rees*"
Beach Read,"Henry, Emily*"
"A Torch Against the Night (An Ember in the Ashes, #2)","Tahir, Sabaa*"
"Lady Smoke (Ash Princess Trilogy, #2)","Sebastian, Laura*"
"Ember Queen (Ash Princess Trilogy, #3)","Sebastian, Laura*"
"Ash Princess (Ash Princess Trilogy, #1)","Sebastian, Laura*"
Who Killed Roger Ackroyd?: The Mystery Behind the Agatha Christie Mystery,"Bayard, Pierre"
Royals,"Hawkins, Rachel*"
The Darkest Part of the Forest,"Black, Holly*"
"An Ember in the Ashes (An Ember in the Ashes, #1)","Tahir, Sabaa*"
Eleanor & Park,"Rowell, Rainbow*"
Gone Girl,"Flynn, Gillian*"
"The House of Hades (The Heroes of Olympus, #4)","Riordan, Rick*"
"The Mark of Athena (The Heroes of Olympus, #3)","Riordan, Rick*"
All the Bright Places,"Niven, Jennifer*"
"Allegiant (Divergent, #3)","Roth, Veronica*"
Sharp Objects,"Flynn, Gillian*"
"Keys to the Demon Prison (Fablehaven, #5)","Mull, Brandon*"
"Secrets of the Dragon Sanctuary (Fablehaven, #4)","Mull, Brandon*"
"Grip of the Shadow Plague (Fablehaven, #3)","Mull, Brandon*"
"Rise of the Evening Star (Fablehaven, #2)","Mull, Brandon*"
"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)","Jackson, Holly*"
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)","Jackson, Holly*"
"Three Act Tragedy (Hercule Poirot, #11)","Christie, Agatha"
"Murder on the Orient Express (Hercule Poirot, #10)","Christie, Agatha"
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)","Han, Jenny*"
"One of Us Is Next (One of Us Is Lying, #2)","McManus, Karen*"
"Chain of Gold (The Last Hours, #1)","Clare, Cassandra*"
"The Elite (The Selection, #2)","Cass, Kiera*"
"Aurora Rising (The Aurora Cycle, #1)","Kaufman, Amie*"
"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)","Adams, Douglas"
"Everything, Everything","Yoon, Nicola*"
Maze Runner: The Scorch Trials: The Official Graphic Novel Prelude,"Lanzing, Jackson"
The Perks of Being a Wallflower,"Chbosky, Stephen"
"The Vanishing Stair (Truly Devious, #2)","Johnson, Maureen*"
"The Toll (Arc of a Scythe, #3)","Shusterman, Neal*"
"Thunderhead (Arc of a Scythe, #2)","Shusterman, Neal*"
"Of Curses and Kisses (St. Rosetta's Academy, #1)","Menon, Sandhya*"
"In the Woods (Dublin Murder Squad, #1)","French, Tana*"
"Angels & Demons (Robert Langdon, #1)","Brown, Dan*"
"The Da Vinci Code (Robert Langdon, #2)","Brown, Dan*"
"A Winter's Promise (The Mirror Visitor, #1)","Dabos, Christelle"
"One of Us Is Lying (One of Us is Lying, #1)","McManus, Karen*"
"A Curse So Dark and Lonely (Cursebreakers, #1)","Kemmerer, Brigid*"
"House of Earth and Blood (Crescent City, #1)","Maas, Sarah J.*"
"Before the Devil Breaks You (The Diviners, #3)","Bray, Libba*"
"Lair of Dreams (The Diviners, #2)","Bray, Libba*"
"Serpent & Dove (Serpent & Dove, #1)","Mahurin, Shelby*"
"The Lost Sisters (The Folk of the Air, #1.5)","Black, Holly*"
"A Study in Charlotte (Charlotte Holmes, #1)","Cavallaro, Brittany*"
"The Dream Thieves (The Raven Cycle, #2)","Stiefvater, Maggie*"
"Caraval (Caraval, #1)","Garber, Stephanie*"
"City of Heavenly Fire (The Mortal Instruments, #6)","Clare, Cassandra*"
"Red Queen (Red Queen, #1)","Aveyard, Victoria*"
"The Last Olympian (Percy Jackson and the Olympians, #5)","Riordan, Rick*"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)","Riordan, Rick*"
"The Titan's Curse (Percy Jackson and the Olympians, #3)","Riordan, Rick*"
"The Sea of Monsters (Percy Jackson and the Olympians, #2)","Riordan, Rick*"
"The Hand on the Wall (Truly Devious, #3)","Johnson, Maureen*"
Turtles All the Way Down,"Green, John*"
"The Raven Boys (The Raven Cycle, #1)","Stiefvater, Maggie*"
"Shadow and Bone (The Shadow and Bone Trilogy, #1)","Bardugo, Leigh*"
"The Murder of Roger Ackroyd (Hercule Poirot, #4)","Christie, Agatha"
"The Unbecoming of Mara Dyer (Mara Dyer, #1)","Hodkin, Michelle*"
The Chaos of Standing Still,"Brody, Jessica*"
"The Hate U Give (The Hate U Give, #1)","Thomas, Angie*"
"Scythe (Arc of a Scythe, #1)","Shusterman, Neal*"
"The Diviners (The Diviners, #1)","Bray, Libba*"
"The Queen of Nothing (The Folk of the Air, #3)","Black, Holly*"
"Defy Me (Shatter Me, #5)","Mafi, Tahereh"
"Our Dark Duet (Monsters of Verity, #2)","Schwab, Victoria*"
"Winter (The Lunar Chronicles, #4)","Meyer, Marissa*"
